GENERIC_NAME,standardized_smiles
5-Chloro-N-{(3S)-1-[(2S)-1-(4-morpholinyl)-1-oxo-2-propanyl]-2-oxo-3-pyrrolidinyl}-1H-indole-2-sulfonamide,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)C1=O
S-NONYL-CYSTEINE,CCCCCCCCCSC[C@H](N)C(=O)O
"(1R,2S)-2-(5-thioxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",O=C(O)[C@@H]1CCCC[C@@H]1c1n[nH]c(=S)[nH]1
"(3R,4S)-1-(3,4-DIMETHOXYPHENYL)-3-(3-METHYLPHENYL)PIPERIDIN-4-AMINE",COc1ccc(N2CC[C@H](N)[C@H](c3cccc(C)c3)C2)cc1OC
"1-(3,5-DICHLOROPHENYL)-5-METHYL-1H-1,2,4-TRIAZOLE-3-CARBOXYLIC ACID",Cc1nc(C(=O)O)nn1-c1cc(Cl)cc(Cl)c1
"2-[4-[4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl]iminocyclohexa-2,5-dien-1-yl]acetonitrile",N#CCC1C=CC(=Nc2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)C=C1
N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,CNCc1ccc(-c2ncnc3[nH]cnc23)cc1
(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,N[C@@H](c1ccccc1)c1ccc(-c2ncnc3[nH]cnc23)cc1
6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,Clc1ccc(C2(c3ccc(-c4ncnc5[nH]cnc45)cc3)CCNCC2)cc1
(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,NC[C@@H](c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,NC[C@H](c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1
(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,NC[C@H](c1ccccc1)c1ccc(Cl)cc1
(2R)-N-hydroxy-3-naphthalen-2-yl-2-[(naphthalen-2-ylsulfonyl)amino]propanamide,O=C(NO)[C@@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2ccccc2c1
"7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE",CCC(CC)n1ccc2c3c(N)nc(N)nc3ccc21
2-chloro-5-nitro-N-phenylbenzamide,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl
4-[(CYCLOPROPYLETHYNYL)OXY]-6-FLUORO-3-ISOPROPYLQUINOLIN-2(1H)-ONE,CC(C)c1c(OC#CC2CC2)c2cc(F)ccc2[nH]c1=O
3-(1H-tetrazol-5-ylamino)cyclohex-2-en-1-one,O=C1C=C(Nc2nnn[nH]2)CCC1
"(5S)-2-(Cyclooctylamino)-5-methyl-5-propyl-1,3-thiazol-4(5H)-one",CCC[C@]1(C)SC(NC2CCCCCCC2)=NC1=O
6-CHLORO-4-(CYCLOHEXYLOXY)-3-PROPYLQUINOLIN-2(1H)-ONE,CCCc1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
6-CHLORO-4-(CYCLOHEXYLSULFANYL)-3-PROPYLQUINOLIN-2(1H)-ONE,CCCc1c(SC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
6-Chloro-4-[(R)-cyclohexylsulfinyl]-3-propyl-2(1H)-quinolinone,CCCc1c([S@](=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
Haloxyfop-P,C[C@@H](Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O
6-CHLORO-4-(CYCLOHEXYLOXY)-3-ISOPROPYLQUINOLIN-2(1H)-ONE,CC(C)c1c(OC2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
5-chloro-N-[(3R)-1-(2-{[2-fluoro-4-(2-oxopyridin-1(2H)-yl)phenyl]amino}-2-oxoethyl)pyrrolidin-3-yl]thiophene-2-carboxamide,O=C(CN1CC[C@@H](NC(=O)c2ccc(Cl)s2)C1)Nc1ccc(-n2ccccc2=O)cc1F
Lauryl alcohol diphosphonic acid,CCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O
"(6S)-2-amino-6-(3'-methoxybiphenyl-3-yl)-3,6-dimethyl-5,6-dihydropyrimidin-4(3H)-one",COc1cccc(-c2cccc([C@]3(C)CC(=O)N(C)C(N)=N3)c2)c1
"5-Chloro-thiophene-2-carboxylic acid ((3S,4S)-1-{[2-fluoro-4-(2-oxo-2H-pyridin-1-yl)-phenylcarbamoyl]-methyl}-4-hydroxy-pyrrolidin-3-yl)-amide",O=C(CN1C[C@H](NC(=O)c2ccc(Cl)s2)[C@@H](O)C1)Nc1ccc(-n2ccccc2=O)cc1F
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12
"8-(6-BROMO-BENZO[1,3]DIOXOL-5-YLSULFANYL)-9-(3-ISOPROPYLAMINO-PROPYL)-ADENINE",CC(C)NCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21
"N-[(1S)-1-{1-[(1R,3E)-1-ACETYLPENT-3-EN-1-YL]-1H-1,2,3-TRIAZOL-4-YL}-1,2-DIMETHYLPROPYL]BENZAMIDE",C/C=C/C[C@H](C(C)=O)n1cc([C@@](C)(NC(=O)c2ccccc2)C(C)C)nn1
"N-hydroxy-5-[(3-phenyl-5,6-dihydroimidazo[1,2-a]pyrazin-7(8H)-yl)carbonyl]thiophene-2-carboxamide",O=C(NO)c1ccc(C(=O)N2CCn3c(-c4ccccc4)cnc3C2)s1
2-((4'-HYDROXYPHENYL)-AZO)BENZOIC ACID,O=C(O)c1ccccc1/N=N/c1ccc(O)cc1
N-{[2-({[1-(4-CARBOXYBUTANOYL)AMINO]-2-PHENYLETHYL}-HYDROXYPHOSPHINYL)OXY]ACETYL}-2-PHENYLETHYLAMINE,O=C(O)CCCC(=O)N[C@H](Cc1ccccc1)[P@@](=O)(O)OCC(=O)NCCc1ccccc1
"4-{4-[2-(1A,7A-DIMETHYL-4-OXY-OCTAHYDRO-1-OXA-4-AZA-CYCLOPROPA[A]NAPHTHALEN-4-YL) -ACETYLAMINO]-PHENYLCARBAMOYL}-BUTYRIC ACID",C[C@]12CCC[N@+]([O-])(CC(=O)Nc3ccc(NC(=O)CCCC(=O)O)cc3)[C@@H]1CC[C@@]1(C)O[C@@H]21
(2-AMINO-3-PHENYL-BICYCLO[2.2.1]HEPT-2-YL)-PHENYL-METHANONE,N[C@]1(C(=O)c2ccccc2)[C@@H]2CC[C@@H](C2)[C@H]1c1ccccc1
Opaviraline,CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C
Talviraline,COc1ccc2c(c1)N(C(=O)OC(C)C)[C@@H](CSC)C(=S)N2
"(R)-1-(4-(4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl)benzyl)guanidine",NC(N)=NCc1ccc(B2OC[C@@H](CO)O2)cc1
"3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER",COC(=O)C[C@H]1CC(c2ccc(O)cc2)=NO1
"(2S)-1-(Dimethylamino)-3-(4-{[4-(2-methylimidazo[1,2-a]pyridin-3-yl)-2-pyrimidinyl]amino}phenoxy)-2-propanol",Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OC[C@@H](O)CN(C)C)cc2)n1
4-(2-HYDROXYPHENYLTHIO)-1-BUTENYLPHOSPHONIC ACID,O=P(O)(O)/C=C/CCSc1ccccc1O
Estradiol hemisuccinate,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC(=O)O
1-(2-HYDROXYETHYLOXYMETHYL)-6-PHENYL THIOTHYMINE,Cc1c(Sc2ccccc2)n(COCCO)c(=O)[nH]c1=O
PHENYL[1-(N-SUCCINYLAMINO)PENTYL]PHOSPHONATE,CCCC[C@H](NC(=O)CCC(=O)O)[P@@](=O)(O)Oc1ccccc1
4-(2-HYDROXY-4-FLUOROPHENYLTHIO)-BUTYLPHOSPHONIC ACID,O=P(O)(O)/C=C/CCSc1cc(F)ccc1O
ALPHA-HYDROXYFARNESYLPHOSPHONIC ACID,CC(C)CCC[C@@H](C)CCC[C@@H](C)C[C@@H](O)P(=O)(O)O
(2S)-hydroxy(4-hydroxyphenyl)ethanoic acid,O=C(O)[C@@H](O)c1ccc(O)cc1
1-(HYDROXYMETHYLENEAMINO)-8-HYDROXY-OCTANE,OCCCCCCCCNCO
"(2R)-3-[(tetrahydroxyphosphoranyl)oxy]-1,2-propanediyl dibutanoate",CCCC(=O)OC[C@H](COP(O)(O)(O)O)OC(=O)CCC
(2S) N-acetyl-L-alanyl-αL-phenylalanyl-chloroethylketone,CC(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)CCCl
3-FORMYL-2-HYDROXY-5-METHYL-HEXANOIC ACID HYDROXYAMIDE,CC(C)C[C@@H](C=O)[C@H](O)C(=O)NO
5-CHLORO-6-METHYL-N-(2-PHENYLETHYL)-2-PYRIDIN-2-YLPYRIMIDIN-4-AMINE,Cc1nc(-c2ccccn2)nc(NCCc2ccccc2)c1Cl
"TERT-BUTYL {2-[(1,3-THIAZOL-2-YLAMINO)CARBONYL]PYRIDIN-3-YL}CARBAMATE",CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1nccs1
"3-[(2,2-DIMETHYLPROPANOYL)AMINO]-N-1,3-THIAZOL-2-YLPYRIDINE-2-CARBOXAMIDE",CC(C)(C)C(=O)Nc1cccnc1C(=O)Nc1nccs1
Hypothemycin,COc1cc(O)c2c(c1)[C@H]1O[C@@H]1C[C@H](O)[C@H](O)C(=O)/C=C/C[C@H](C)OC2=O
"[(3R)-7-NITRO-1,2,3,4-TETRAHYDROISOQUINOLIN-3-YL]METHANOL",O=[N+]([O-])c1ccc2c(c1)CN[C@@H](CO)C2
(2S)-2-HYDROXYOCTANOIC ACID,CCCCCC[C@H](O)C(=O)O
7-HYDROXY-4-METHYL-3-(2-HYDROXY-ETHYL)COUMARIN,Cc1c(CCO)c(=O)oc2cc(O)ccc12
"(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL",O=C(O)CCCNC(=O)c1ccc([C@H]2CC[C@H](c3ccccc3)C[C@@H]2O)cc1
"(2S)-2-amino-3-phenylpropane-1,1-diol",N[C@@H](Cc1ccccc1)C(O)O
"(3E)-2,6-DIOXO-6-PHENYLHEX-3-ENOATE",O=C(O)C(=O)/C=C/CC(=O)c1ccccc1
2-OXOHEPTYLPHOSPHONIC ACID,CCCCCC(=O)CP(=O)(O)O
HOMOPHENYLALANINYLMETHANE,CC(=O)[C@@H](N)CCc1ccccc1
"2-hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",O=C(O)/C(O)=C/C=C/C(=O)c1ccccc1
"(2E,4E)-2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",O=C(O)/C(O)=C\C=C\C(=O)c1ccccc1
3-{6-[(8-HYDROXY-QUINOLINE-2-CARBONYL)-AMINO]-2-THIOPHEN-2-YL-HEXANOYLAMINO}-4-OXO-BUTYRI ACID,O=C[C@H](CC(=O)O)NC(=O)[C@@H](CCCCNC(=O)c1ccc2cccc(O)c2n1)c1cccs1
4-(BENZHYDRYLOXY)-1-[3-(1H-TETRAAZOL-5-YL)PROPYL]PIPERIDINE,c1ccc(C(OC2CCN(CCCc3nnn[nH]3)CC2)c2ccccc2)cc1
2-heptyl-4-hydroxyquinoline N-oxide,CCCCCCCc1cc(O)c2ccccc2[n+]1[O-]
Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12
N-oxo-2-[(4-phenylphenyl)sulfonylamino]ethanamide,O=NC(=O)CNS(=O)(=O)c1ccc(-c2ccccc2)cc1
2-[(4-fluorophenyl)sulfonylamino]-N-oxo-ethanamide,O=NC(=O)CNS(=O)(=O)c1ccc(F)cc1
N-oxo-2-(phenylsulfonylamino)ethanamide,O=NC(=O)CNS(=O)(=O)c1ccccc1
octyl alpha-L-altropyranoside,CCCCCCCCO[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O
octyl beta-D-galactopyranoside,CCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
4-(2-HYDROXYPHENYLSULFINYL)-BUTYLPHOSPHONIC ACID,O=[S@](CCCCP(=O)(O)O)c1ccccc1O
N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@@H](CC(=O)NO)CC(C)C
3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid,O=C(O)c1ccc(NS(=O)(=O)c2ccsc2C(=O)O)c(O)c1
N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE,CCCCCCCC(=O)N[C@H]1CCOC1=O
"N-(TERT-BUTYL)-3,5-DIMETHYL-N'-[(5-METHYL-2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)CARBONYL]BENZOHYDRAZIDE",Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)OCCO3)C(C)(C)C)c1
(3R)-3-HYDROXYDODECANOIC ACID,CCCCCCCCC[C@@H](O)CC(=O)O
Hexestrol,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
"dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate",COC(=O)C1=C(C(=O)OC)[C@@H]2O[C@H]1C(c1ccc(O)cc1)=C2c1ccc(O)cc1
Erteberel,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1
[[CYCLOHEXANESULFONYL-GLYCYL]-3[PYRIDIN-4-YL-AMINOMETHYL]ALANYL]PIPERIDINE,O=C(CNS(=O)(=O)C1CCCCC1)N[C@H](CCNc1ccncc1)C(=O)N1CCCCC1
"5-[(5-fluoro-3-methyl-1H-indazol-4-yl)oxy]benzene-1,3-dicarbonitrile",Cc1n[nH]c2ccc(F)c(Oc3cc(C#N)cc(C#N)c3)c12
N-(4-{[(3S)-3-(dimethylamino)pyrrolidin-1-yl]carbonyl}phenyl)-5-fluoro-4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-amine,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CC[C@H](N(C)C)C4)cc3)ncc2F)n1C(C)C
"2-butoxy-9-(2,6-difluorobenzyl)-N-(2-morpholin-4-ylethyl)-9H-purin-6-amine",CCCCOc1nc(NCCN2CCOCC2)c2ncn(Cc3c(F)cccc3F)c2n1
(S)-iclaprim,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)O[C@@H](C1CC1)C=C2
N-(3-MERCAPTOPROPANOYL)-D-ALANINE,C[C@@H](NC(=O)CCS)C(=O)O
"9-(3-IODOBENZYLAMINO)-1,2,3,4-TETRAHYDROACRIDINE",Ic1cccc(CNc2c3c(nc4ccccc24)CCCC3)c1
PH-797804,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1
2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine,Fc1ccc(-c2c[nH]nc2-c2ccnc(F)c2)cc1
SD-0006,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1
N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE,Cc1cc(NS(=O)(=O)c2ccccc2)cc(OCCNc2ccncc2)c1
"5-(3-carbamoylbenzyl)-5,6,7,8,9,10-hexahydrocyclohepta[b]indole-4-carboxylic acid",NC(=O)c1cccc(Cn2c3c(c4cccc(C(=O)O)c42)CCCCC3)c1
"N-[2-({[amino(imino)methyl]amino}oxy)ethyl]-2-{6-chloro-3-[(2,2-difluoro-2-phenylethyl)amino]-2-fluorophenyl}acetamide",NC(N)=NOCCNC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2ccccc2)c1F
ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE,O=S(=O)(NCCNCCOCc1ccc(Cl)cc1)c1cccc2cnccc12
"({[(3E)-2'-Oxo-2',7'-dihydro-2,3'-biindol-3(7H)-ylidene]amino}oxy)acetic acid",O=C(O)CO/N=C1\C2=CC=CCC2=N\C1=C1/C(=O)N=C2CC=CC=C21
Indoleacetic acid,O=C(O)Cc1c[nH]c2ccccc12
N-(indole-3-acetyl)-L-aspartic acid,O=C(O)C[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O
N-[1H-INDOL-3-YL-ACETYL]GLYCINE ACID,O=C(O)CNC(=O)Cc1c[nH]c2ccccc12
N-[1H-INDOL-3-YL-ACETYL]VALINE ACID,CC(C)[C@H](NC(=O)Cc1c[nH]c2ccccc12)C(=O)O
3-isobutyl-1-methyl-7H-xanthine,CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21
(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE,Nc1ccc(CC(=O)OCCBr)c(C=O)c1
[1-(3-CHLORO-2-FORMYL-PHENYLCARBAMOYL)-2-METHYL-PROPYL]-CARBAMIC ACID TERT-BUTYL ESTER,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)Nc1cccc(Cl)c1C=O
METHYL(2-ACETOXY-2-(2-CARBOXY-4-AMINO-PHENYL))ACETATE,COC(=O)[C@H](OC(C)=O)c1ccc(N)cc1C(=O)O
(2-CARBAMOYLMETHYL-5-PROPYL-OCTAHYDRO-INDOL-7-YL)ACETIC ACID,CCCc1cc(CC(=O)O)c2[nH]c(CC(N)=O)cc2c1
3-(1H-BENZIMIDAZOL-2-YL)-1H-INDAZOLE,c1ccc2[nH]c(-c3n[nH]c4ccccc34)nc2c1
"5-ACETAMIDO-5,6-DIHYDRO-4-HYDROXY-6-ISOBUTOXY-4H-PYRAN-2-CARBOXYLIC ACID",CC(=O)N[C@H]1[C@H](OCC(C)C)OC(C(=O)O)=C[C@@H]1O
"1-(4-Cyano-phenyl)-3-[2-(2,6-dichloro-phenyl)-1-imino-ethyl]-thiourea",N#Cc1ccc(NC(=S)/N=C(\N)Cc2c(Cl)cccc2Cl)cc1
"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE",COC(=O)CCNC(=O)c1cc(-c2ccc(F)cc2F)cc(I)c1O
"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE",O=C(O)CCNC(=O)c1cc(-c2ccc(F)cc2F)cc(I)c1O
"(3S)-4-{[4-(BUT-2-YNYLOXY)PHENYL]SULFONYL}-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE",CC#CCOc1ccc(S(=O)(=O)N2CCSC(C)(C)[C@@H]2C(=O)NO)cc1
6-(cyclohexylamino)-9-[2-(4-methylpiperazin-1-yl)-ethyl]-9H-purine-2-carbonitrile,CN1CCN(CCn2cnc3c(NC4CCCCC4)nc(C#N)nc32)CC1
[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]quinazolin-2-yl}amino)phenyl]acetonitrile,N#CCc1ccc(Nc2nc(Nc3cc(C4CC4)[nH]n3)c3ccccc3n2)cc1
9-CYCLOPENTYL-6-[2-(3-IMIDAZOL-1-YL-PROPOXY)-PHENYLAMINO]-9H-PURINE-2-CARBONITRILE,N#Cc1nc(Nc2ccccc2OCCCn2ccnc2)c2ncn(C3CCCC3)c2n1
N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA,COc1ccc(O)cc1NC(=O)NC(=O)c1ccc(F)cc1Cl
3-[3-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)quinoxalin-5-yl]phenol,CN1CCN(c2cnc3cc(C(F)(F)F)cc(-c4cccc(O)c4)c3n2)CC1
5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1cncc(C(N)=O)c1
"5-AMINO-2-{4-[(4-AMINOPHENYL)SULFANYL]PHENYL}-1H-ISOINDOLE-1,3(2H)-DIONE",Nc1ccc(Sc2ccc(N3C(=O)c4ccc(N)cc4C3=O)cc2)cc1
1-(3-METHYLPHENYL)-1H-BENZIMIDAZOL-5-AMINE,Cc1cccc(-n2cnc3cc(N)ccc32)c1
N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3ccccc32)c1
1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE,CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1
"2-({[3,5-DIFLUORO-3'-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)CYCLOPENT-1-ENE-1-CARBOXYLIC ACID",O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CCC1
3-{[(3-FLUORO-3'-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID,COc1cccc(-c2ccc(NC(=O)c3ccsc3C(=O)O)c(F)c2)c1
"3-({[3,5-DIFLUORO-3'-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)THIOPHENE-2-CARBOXYLIC ACID",O=C(Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F)c1ccsc1C(=O)O
"2-({[2,3,5,6-TETRAFLUORO-3'-(TRIFLUOROMETHOXY)BIPHENYL-4-YL]AMINO}CARBONYL)CYCLOPENTA-1,3-DIENE-1-CARBOXYLIC ACID",O=C(O)C1=C(C(=O)Nc2c(F)c(F)c(-c3cccc(OC(F)(F)F)c3)c(F)c2F)C=CC1
"(2E)-3-(3,4-DIHYDROXYPHENYL)-2-IMINOPROPANOIC ACID",N=C(Cc1ccc(O)c(O)c1)C(=O)O
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide,CC[C@H](CO)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
2-{4-[4-({4-[2-methyl-1-(1-methylethyl)-1H-imidazol-5-yl]pyrimidin-2-yl}amino)phenyl]piperazin-1-yl}-2-oxoethanol,Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)n2)n1C(C)C
1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(I)cc1
2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide,CC[C@@H](CO)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE,COC(=O)C[C@H](CCc1ccc(C(=N)N)cc1)c1cccc(C(=N)N)c1
[4-(4-PHENYL-PIPERIDIN-1-YL)-BENZENESULFONYLAMINO]-ACETIC ACID,O=C(O)CNS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1
"[2-(5-Mercapto-[1,3,4]thiadiazol-2-ylcarbamoyl)-1-phenyl-ethyl]-carbamic acid benzyl ester",O=C(C[C@@H](NC(=O)OCc1ccccc1)c1ccccc1)Nc1n[nH]c(=S)s1
"2-[3-(5-Mercapto-[1,3,4]thiadiazol-2yl)-ureido]-N-methyl-3-pentafluorophenyl-propionamide",CNC(=O)[C@H](Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)Nc1nnc(S)s1
2-(ACETYL-HYDROXY-AMINO)-4-METHYL-PENTANOIC ACID METHYL ESTER,COC(=O)[C@@H](CC(C)C)N(O)C(C)=O
"(RP,SP)-O-(2R)-(1-PHENOXYBUT-2-YL)-METHYLPHOSPHONIC ACID CHLORIDE",CC[C@H](COc1ccccc1)O[P@@](C)(=O)Cl
N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccccc12
Indoxyl sulfate,O=S(=O)(O)Oc1c[nH]c2ccccc12
"N~3~-[3-(1H-INDOL-6-YL)BENZYL]PYRIDINE-2,3-DIAMINE",Nc1ncccc1NCc1cccc(-c2ccc3cc[nH]c3c2)c1
"N~3~-[5-(1H-INDOL-6-YL)-2-(PYRIDIN-2-YLMETHOXY)BENZYL]PYRIDINE-2,3-DIAMINE",Nc1ncccc1NCc1cc(-c2ccc3cc[nH]c3c2)ccc1OCc1ccccn1
H-89,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
5-(2-methylpiperazine-1-sulfonyl)isoquinoline,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12
N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE,CNCCNS(=O)(=O)c1cccc2cnccc12
"{4-[(CARBOXYMETHOXY)CARBONYL]-3,3-DIOXIDO-1-OXONAPHTHO[1,2-D]ISOTHIAZOL-2(1H)-YL}ACETIC ACID",O=C(O)COC(=O)c1cc2ccccc2c2c1S(=O)(=O)N(CC(=O)O)C2=O
"2-(CARBOXYMETHYL)-1-OXO-1,2-DIHYDRONAPHTHO[1,2-D]ISOTHIAZOLE-4-CARBOXYLIC ACID 3,3-DIOXIDE",O=C(O)CN1C(=O)c2c(c(C(=O)O)cc3ccccc23)S1(=O)=O
5-(3-{3-[3-HYDROXY-2-(METHOXYCARBONYL)PHENOXY]PROPENYL}PHENYL)-4-(HYDROXYMETHYL)ISOXAZOLE-3-CARBOXYLIC ACID,COC(=O)c1c(O)cccc1OC/C=C/c1cccc(-c2onc(C(=O)O)c2CO)c1
ISOTHIAZOLIDINONE ANALOG,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)C(N)=O
